time_iso8601,forks_cumulative
2023-06-12 00:00:00+00:00,25305
2023-06-13 00:00:00+00:00,25393
2023-06-14 00:00:00+00:00,25449
2023-06-15 00:00:00+00:00,25506
2023-06-16 00:00:00+00:00,25547
2023-06-17 00:00:00+00:00,25586
2023-06-18 00:00:00+00:00,25629
2023-06-19 00:00:00+00:00,25686
2023-06-20 00:00:00+00:00,25740
2023-06-21 00:00:00+00:00,25803
2023-06-22 00:00:00+00:00,25840
2023-06-23 00:00:00+00:00,25875
2023-06-24 00:00:00+00:00,25914
2023-06-25 00:00:00+00:00,25973
2023-06-26 00:00:00+00:00,26034
2023-06-27 00:00:00+00:00,26075
2023-06-28 00:00:00+00:00,26133
2023-06-29 00:00:00+00:00,26164
2023-06-30 00:00:00+00:00,26200
2023-07-01 00:00:00+00:00,26234
2023-07-02 00:00:00+00:00,26274
2023-07-03 00:00:00+00:00,26326
2023-07-04 00:00:00+00:00,26364
2023-07-05 00:00:00+00:00,26411
2023-07-06 00:00:00+00:00,26468
2023-07-07 00:00:00+00:00,26510
2023-07-08 00:00:00+00:00,26537
2023-07-09 00:00:00+00:00,26579
2023-07-10 00:00:00+00:00,26626
2023-07-11 00:00:00+00:00,26664
2023-07-12 00:00:00+00:00,26700
2023-07-13 00:00:00+00:00,26732
2023-07-14 00:00:00+00:00,26765
2023-07-15 00:00:00+00:00,26792
2023-07-16 00:00:00+00:00,26826
2023-07-17 00:00:00+00:00,26861
2023-07-18 00:00:00+00:00,26901
2023-07-19 00:00:00+00:00,26938
2023-07-20 00:00:00+00:00,26966
2023-07-21 00:00:00+00:00,27003
2023-07-22 00:00:00+00:00,27016
2023-07-23 00:00:00+00:00,27035
2023-07-24 00:00:00+00:00,27063
2023-07-25 00:00:00+00:00,27089
2023-07-26 00:00:00+00:00,27125
2023-07-27 00:00:00+00:00,27148
2023-07-28 00:00:00+00:00,27173
2023-07-29 00:00:00+00:00,27195
2023-07-30 00:00:00+00:00,27215
2023-07-31 00:00:00+00:00,27244
2023-08-01 00:00:00+00:00,27277
2023-08-02 00:00:00+00:00,27301
2023-08-03 00:00:00+00:00,27337
2023-08-04 00:00:00+00:00,27358
2023-08-05 00:00:00+00:00,27378
2023-08-06 00:00:00+00:00,27397
2023-08-07 00:00:00+00:00,27416
2023-08-08 00:00:00+00:00,27440
2023-08-09 00:00:00+00:00,27459
2023-08-10 00:00:00+00:00,27475
2023-08-11 00:00:00+00:00,27502
2023-08-12 00:00:00+00:00,27517
2023-08-13 00:00:00+00:00,27529
2023-08-14 00:00:00+00:00,27541
2023-08-15 00:00:00+00:00,27563
2023-08-16 00:00:00+00:00,27584
2023-08-17 00:00:00+00:00,27615
2023-08-18 00:00:00+00:00,27630
2023-08-19 00:00:00+00:00,27642
2023-08-20 00:00:00+00:00,27659
2023-08-21 00:00:00+00:00,27675
2023-08-22 00:00:00+00:00,27690
2023-08-23 00:00:00+00:00,27711
2023-08-24 00:00:00+00:00,27724
2023-08-25 00:00:00+00:00,27742
2023-08-26 00:00:00+00:00,27757
2023-08-27 00:00:00+00:00,27768
2023-08-28 00:00:00+00:00,27795
2023-08-29 00:00:00+00:00,27817
2023-08-30 00:00:00+00:00,27837
2023-08-31 00:00:00+00:00,27856
2023-09-01 00:00:00+00:00,27875
2023-09-02 00:00:00+00:00,27891
2023-09-03 00:00:00+00:00,27899
2023-09-04 00:00:00+00:00,27914
2023-09-05 00:00:00+00:00,27929
2023-09-06 00:00:00+00:00,27947
2023-09-07 00:00:00+00:00,27965
2023-09-08 00:00:00+00:00,27983
2023-09-09 00:00:00+00:00,28001
2023-09-10 00:00:00+00:00,28016
2023-09-11 00:00:00+00:00,28031
2023-09-12 00:00:00+00:00,28052
2023-09-13 00:00:00+00:00,28071
2023-09-14 00:00:00+00:00,28090
2023-09-15 00:00:00+00:00,28109
2023-09-16 00:00:00+00:00,28123
2023-09-17 00:00:00+00:00,28143
2023-09-18 00:00:00+00:00,28172
2023-09-19 00:00:00+00:00,28208
2023-09-20 00:00:00+00:00,28247
2023-09-21 00:00:00+00:00,28282
2023-09-22 00:00:00+00:00,28308
2023-09-23 00:00:00+00:00,28342
2023-09-24 00:00:00+00:00,28376
2023-09-25 00:00:00+00:00,28433
2023-09-26 00:00:00+00:00,28504
2023-09-27 00:00:00+00:00,28585
2023-09-28 00:00:00+00:00,28666
2023-09-29 00:00:00+00:00,28761
2023-09-30 00:00:00+00:00,28823
2023-10-01 00:00:00+00:00,28891
2023-10-02 00:00:00+00:00,28959
2023-10-03 00:00:00+00:00,29036
2023-10-04 00:00:00+00:00,29114
2023-10-05 00:00:00+00:00,29177
2023-10-06 00:00:00+00:00,29247
2023-10-07 00:00:00+00:00,29317
2023-10-08 00:00:00+00:00,29388
2023-10-09 00:00:00+00:00,29481
2023-10-10 00:00:00+00:00,29562
2023-10-11 00:00:00+00:00,29655
2023-10-12 00:00:00+00:00,29727
2023-10-13 00:00:00+00:00,29797
2023-10-14 00:00:00+00:00,29856
2023-10-15 00:00:00+00:00,29903
2023-10-16 00:00:00+00:00,29977
2023-10-17 00:00:00+00:00,30028
2023-10-18 00:00:00+00:00,30106
2023-10-19 00:00:00+00:00,30193
2023-10-20 00:00:00+00:00,30264
2023-10-21 00:00:00+00:00,30318
2023-10-22 00:00:00+00:00,30374
2023-10-23 00:00:00+00:00,30472
2023-10-24 00:00:00+00:00,30559
2023-10-25 00:00:00+00:00,30649
2023-10-26 00:00:00+00:00,30751
2023-10-27 00:00:00+00:00,30826
2023-10-28 00:00:00+00:00,30884
2023-10-29 00:00:00+00:00,30927
2023-10-30 00:00:00+00:00,31005
2023-10-31 00:00:00+00:00,31074
2023-11-01 00:00:00+00:00,31148
2023-11-02 00:00:00+00:00,31233
2023-11-03 00:00:00+00:00,31299
2023-11-04 00:00:00+00:00,31353
2023-11-05 00:00:00+00:00,31411
2023-11-06 00:00:00+00:00,31473
2023-11-07 00:00:00+00:00,31555
2023-11-08 00:00:00+00:00,31623
2023-11-09 00:00:00+00:00,31677
2023-11-10 00:00:00+00:00,31727
2023-11-11 00:00:00+00:00,31777
2023-11-12 00:00:00+00:00,31824
2023-11-13 00:00:00+00:00,31883
2023-11-14 00:00:00+00:00,31954
2023-11-15 00:00:00+00:00,32012
2023-11-16 00:00:00+00:00,32066
2023-11-17 00:00:00+00:00,32115
2023-11-18 00:00:00+00:00,32161
2023-11-19 00:00:00+00:00,32213
2023-11-20 00:00:00+00:00,32288
2023-11-21 00:00:00+00:00,32358
2023-11-22 00:00:00+00:00,32416
2023-11-23 00:00:00+00:00,32478
2023-11-24 00:00:00+00:00,32522
2023-11-25 00:00:00+00:00,32556
2023-11-26 00:00:00+00:00,32595
2023-11-27 00:00:00+00:00,32648
2023-11-28 00:00:00+00:00,32696
2023-11-29 00:00:00+00:00,32749
2023-11-30 00:00:00+00:00,32794
2023-12-01 00:00:00+00:00,32838
2023-12-02 00:00:00+00:00,32886
2023-12-03 00:00:00+00:00,32934
2023-12-04 00:00:00+00:00,32977
2023-12-05 00:00:00+00:00,33028
2023-12-06 00:00:00+00:00,33081
2023-12-07 00:00:00+00:00,33133
2023-12-08 00:00:00+00:00,33169
2023-12-09 00:00:00+00:00,33205
2023-12-10 00:00:00+00:00,33251
2023-12-11 00:00:00+00:00,33294
2023-12-12 00:00:00+00:00,33334
2023-12-13 00:00:00+00:00,33389
2023-12-14 00:00:00+00:00,33433
2023-12-15 00:00:00+00:00,33486
2023-12-16 00:00:00+00:00,33518
2023-12-17 00:00:00+00:00,33550
